Length,LCI,Actual,HCI
4-5mm,77.90778081,100,100
6-7mm,91.51380401,98.14814815,99.90505752
8-9mm,87.48837952,97.22222222,99.85762008
10-11mm,69.619027,80,88.03438658
12-13mm,84.63110011,93.75,98.27496672
14-15mm,86.01512676,94.33962264,98.43958553
16-17mm,88.9446871,97.56097561,99.87497263
18-19mm,92.78424755,100,100
20-21mm,89.11696442,100,100
22-23mm,88.26538438,100,100
24-25mm,83.84338887,100,100
