Length,LCI,Actual,HCI
4-6mm,65.18,100,100
6-8mm,71.69,100,100
8-10mm,88.71,100,100
10-12mm,93.95,100,100
12-14mm,93.82,100,100
14-16mm,94.6,100,100
16-18mm,94.7,100,100
18-20mm,95.36,100,100
20-22mm,94.5,100,100
22-24mm,91.57,100,100
24-26mm,87.79,100,100
26-28mm,56.02,80,94.31531324
28-30mm,15.32,50,84.6838882
