Length,LCI,Actual,HCI
4-5mm,71.69,100,100
6-7mm,68.97,88.88888889,97.98893241
8-9mm,39.09,66.66666667,87.71493368
10-11mm,1.72,9.523809524,27.05516993
12-13mm,27.39,47.36842105,67.99134704
14-15mm,25.11,39.39393939,55.17720732
16-17mm,29.08,41.86046512,55.52040247
18-19mm,53.96,65.51724138,75.84238801
20-21mm,48.43,58.44155844,67.95142802
22-23mm,64.87,75.86206897,84.77723605
24-25mm,56.84,69.3877551,80.09006238
26-27mm,62.03,78.57142857,90.23176452
28-29mm,71.69,100,100
