Length,LCI,Actual,HCI
4-6mm,77.91,100,100
6-8mm,94.6,100,100
8-10mm,92.02,100,100
10-12mm,95.13,100,100
12-14mm,90.49,97.91666667,99.89319605
14-16mm,81.18,90.56603774,96.20872537
16-18mm,82.16,92.68292683,97.97602129
18-20mm,58.61,72.5,83.74785017
20-22mm,55.32,73.07692308,86.62258744
22-24mm,47.86,66.66666667,82.20393747
24-26mm,16.64,35.29411765,58.02946484
