Length,LCI,Actual,HCI
4-5mm,65.18,100,100
6-7mm,71.69,100,100
8-9mm,58.05,76,88.99438003
10-11mm,25.83,37.5,50.38164957
12-13mm,40.28,53.19148936,65.78964773
14-15mm,60.5,72.22222222,82.03215589
16-17mm,73.18,83.63636364,91.18887355
18-19mm,86.06,93.65079365,97.80238375
20-21mm,88.59,96.22641509,99.32537249
22-23mm,86.79,97.05882353,99.84925111
24-25mm,80.98,95.65217391,99.77723417
26-27mm,72.06,93.33333333,99.65862871
28-29mm,60.7,100,100
