Age,Conc_tricaine,Recovery,Not_SM_or_TR,Length
25,0.012,1,1,5.5
25,0.012,1,1,5.5
25,0.012,1,1,5.5
25,0.012,1,1,6
25,0.012,1,1,6
25,0.012,1,1,6
25,0.012,1,1,6
25,0.012,1,1,6
25,0.012,1,1,6
25,0.012,1,1,6
25,0.012,1,1,6
25,0.012,1,1,6
25,0.012,1,1,6
25,0.012,1,1,6
25,0.012,1,1,6
25,0.012,1,1,6.5
25,0.012,1,1,6.5
25,0.012,1,1,6.5
25,0.012,1,1,6.5
25,0.012,1,1,6.5
25,0.012,1,1,6.5
25,0.012,1,1,6.5
25,0.012,1,1,6.5
25,0.012,1,1,6.5
25,0.012,1,1,7
25,0.012,1,1,7
25,0.012,1,1,7
25,0.012,1,1,7
25,0.013,1,1,7
25,0.013,1,1,7
25,0.013,1,1,7
25,0.013,1,1,7
25,0.012,1,1,7.5
25,0.012,1,1,7.5
25,0.012,1,1,8
25,0.013,1,1,4
25,0.013,1,1,4.5
25,0.013,1,1,4.5
25,0.013,1,1,4.5
25,0.013,1,1,5
25,0.013,1,1,5
25,0.013,1,1,5.5
25,0.013,1,1,5.5
25,0.013,1,1,5.5
25,0.013,1,1,5.5
25,0.013,1,1,5.5
25,0.013,1,1,5.5
25,0.013,1,1,5.5
25,0.013,1,1,6
25,0.013,1,1,6
25,0.013,1,1,6
25,0.013,1,1,6
25,0.013,1,1,6
25,0.013,1,1,6
25,0.013,1,1,6
25,0.013,1,1,6
25,0.013,1,1,6
25,0.013,1,1,6.5
25,0.013,1,1,6.5
25,0.013,1,1,6.5
25,0.013,1,1,6.5
25,0.013,1,1,6.5
25,0.013,1,1,7
25,0.013,1,1,7
25,0.013,1,1,7.5
25,0.013,1,1,7.5
25,0.013,1,1,7.5
25,0.013,1,1,8
25,0.013,1,1,8
25,0.013,1,1,8.5
25,0.011,0,1,7
25,0.011,0,1,7
25,0.011,0,1,7
25,0.012,0,1,7
27,0.008,1,1,7
27,0.008,1,1,7
27,0.008,1,1,7
27,0.008,1,1,7
27,0.008,1,1,7
27,0.008,1,1,7
27,0.008,1,1,7
27,0.01,1,1,7
27,0.01,1,1,7
27,0.01,1,1,7
27,0.01,1,1,0
27,0.008,1,1,7.5
27,0.008,1,1,6
27,0.008,1,1,9
27,0.008,1,1,7.5
27,0.01,1,1,7
27,0.008,0,1,10
27,0.008,1,1,6
27,0.008,1,1,8
27,0.008,1,1,8
27,0.008,1,1,8
27,0.008,1,1,6.5
27,0.008,1,1,8
27,0.008,1,1,8
27,0.008,1,1,10
27,0.008,1,1,8.5
27,0.008,1,1,10
27,0.008,1,1,7.5
27,0.008,1,1,6
27,0.008,1,1,6
27,0.008,1,1,6
27,0.008,1,1,6
27,0.008,1,1,7.5
27,0.008,1,1,8.5
27,0.008,1,1,5.5
27,0.008,1,1,7.5
27,0.008,1,1,8
27,0.008,1,1,6
27,0.008,1,1,8
27,0.01,1,1,6.5
27,0.01,1,1,6.5
27,0.01,1,1,7.5
27,0.01,0,1,9
27,0.01,0,1,9
27,0.01,0,1,11
27,0.01,0,1,9
27,0.01,0,1,10
27,0.01,0,1,11
27,0.01,1,1,6
27,0.01,1,1,7.5
27,0.01,1,1,8
27,0.01,0,1,9
27,0.01,1,1,9
27,0.01,1,1,8.5
27,0.01,1,1,6
27,0.01,1,1,8.5
27,0.01,1,1,8
27,0.01,1,1,8
27,0.01,1,1,8
27,0.01,1,1,8
27,0.01,1,1,7.5
27,0.01,1,1,6.5
27,0.01,1,1,5.5
29,0.008,1,1,7.5
29,0.008,1,1,7
29,0.008,1,1,8
29,0.008,1,1,4
29,0.008,1,1,6.5
29,0.008,1,1,5
29,0.008,1,1,6.5
29,0.008,1,1,6
29,0.008,1,1,5.5
29,0.008,1,1,5.5
29,0.008,1,1,8
29,0.008,1,1,8
29,0.008,1,1,7
29,0.008,1,1,6.5
29,0.008,1,1,9
29,0.008,1,1,9.5
29,0.008,1,1,7.5
29,0.008,1,1,5.5
29,0.008,1,1,5
29,0.008,1,1,8.5
29,0.008,1,1,7.5
29,0.008,1,1,6
29,0.008,1,1,8
29,0.008,0,1,10
29,0.008,1,1,7.5
29,0.008,1,1,9.5
29,0.008,1,1,7.5
29,0.008,1,1,7
29,0.008,1,1,8.5
29,0.008,1,1,6.5
29,0.008,1,1,6
29,0.008,1,1,7.5
29,0.008,1,1,7
29,0.008,1,1,5.5
29,0.008,1,1,6
29,0.008,1,1,8
29,0.008,1,1,7
29,0.008,1,1,6.5
29,0.008,1,1,6
31,0.008,1,1,11
31,0.008,1,1,11
31,0.008,1,1,12.5
31,0.008,1,1,8.5
31,0.008,1,1,11
31,0.008,1,1,12
31,0.008,1,1,6.5
31,0.008,1,1,10
31,0.008,1,1,12
31,0.008,1,1,5
31,0.008,1,1,11
31,0.008,1,1,7
31,0.008,1,1,12
31,0.008,1,1,6
31,0.008,1,1,11
31,0.008,0,1,6
31,0.008,1,1,10
31,0.008,1,1,8
31,0.008,1,1,10
31,0.008,1,1,11
31,0.008,1,1,10
31,0.008,1,1,9
31,0.008,1,1,4
31,0.008,1,1,5
31,0.008,1,1,6
31,0.008,1,1,12
31,0.008,1,1,11
31,0.008,1,1,11
31,0.008,1,1,9
31,0.008,1,1,7.5
31,0.008,1,1,10
31,0.008,1,1,9.5
31,0.008,1,1,11
31,0.008,1,1,12
31,0.008,1,1,11
31,0.008,1,1,8
31,0.008,1,1,9
31,0.008,1,1,7
31,0.008,1,1,7
31,0.008,1,1,5.5
31,0.008,1,1,6
31,0.008,1,1,10
31,0.008,1,1,6
31,0.008,1,1,10
31,0.008,1,1,8.5
31,0.008,1,1,9.5
